division,round,matchday,team_a,team_b,score_a,score_b,game,side,player_slug,player_label,champion,position,k,d,a,win
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,1,A,poweh-6232,Mark Grayson,Jayce,Top,5,5,10,1
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,1,A,prominence1-9362,Glovo Rider,Maokai,Jungle,9,2,14,1
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,1,A,mrpendej-5527,Torrezno,Anivia,Mid,9,0,11,1
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,1,A,boring-cycle-5979,Abner,Senna,ADC,4,2,16,1
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,1,A,rudo-surebrec-3686,Simpy,Nautilus,Support,1,2,19,1
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,1,B,lightfall-4677,LightFall,Malphite,Top,2,5,3,0
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,1,B,zenitsu-2699,PERDISTE EL EMMY,Xin Zhao,Jungle,4,8,5,0
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,1,B,gorinkai-5318,GoRinKai,Ryze,Mid,3,3,1,0
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,1,B,ibai-true-blue-1010,Ryoma Echizen,Jinx,ADC,2,5,3,0
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,1,B,vwvwvvvwwwvwvwvv-1549,Umbreon,Rell,Support,0,7,4,0
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,2,A,poweh-6232,Mark Grayson,Aatrox,Top,5,0,4,1
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,2,A,prominence1-9362,Glovo Rider,Sejuani,Jungle,7,0,12,1
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,2,A,mrpendej-5527,Torrezno,Annie,Mid,4,0,8,1
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,2,A,boring-cycle-5979,Abner,Yunara,ADC,10,1,5,1
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,2,A,rudo-surebrec-3686,Simpy,Karma,Support,0,2,21,1
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,2,B,lightfall-4677,LightFall,Sion,Top,0,1,0,0
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,2,B,zenitsu-2699,PERDISTE EL EMMY,Viego,Jungle,3,7,0,0
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,2,B,gorinkai-5318,GoRinKai,Hwei,Mid,0,4,1,0
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,2,B,ibai-true-blue-1010,Ryoma Echizen,Jhin,ADC,0,7,1,0
División 1,Final,,Oxygen Gaming LOL,Valkiria's Vikings,2,0,2,B,vwvwvvvwwwvwvwvv-1549,Umbreon,Alistar,Support,0,7,2,0
División 1,Jornada 1,1,Guinea Pink,Valkiria's Vikings,0,1,1,A,,Yuta Okkotsu,,,6,5,7,0
División 1,Jornada 1,1,Guinea Pink,Valkiria's Vikings,0,1,1,A,rewound-4027,Hero of Hell,,,6,2,7,0
División 1,Jornada 1,1,Guinea Pink,Valkiria's Vikings,0,1,1,A,,FM Alén Stark,,,2,6,7,0
División 1,Jornada 1,1,Guinea Pink,Valkiria's Vikings,0,1,1,A,,Lazarus,,,4,6,1,0
División 1,Jornada 1,1,Guinea Pink,Valkiria's Vikings,0,1,1,A,,Pinkmin,,,0,4,10,0
División 1,Jornada 1,1,Guinea Pink,Valkiria's Vikings,0,1,1,B,,Umbreon,,,0,3,18,1
