division,team_name,team_short,team_logo,final_result,final_position,final_record,group,founded_year
División 1,Valkiria's Vikings,VV,/logos/valkirias_vikings.png,Finalista,2,2-1,,2020
División 1,Guinea Pink,GP,/logos/guinea_pink.png,Fase de grupos,6,1-2
División 1,Oxygen Gaming LOL,OXG,/logos/oxygen_gaming_lol.png,Campeón,1,2-0
División 1,Nocturne Gale LOL,NG,/logos/nocturne_gale_lol.png,Fase de grupos,8,0-3
División 1,EK Esports,EK,/logos/ek_esports.png,Fase de grupos,5,1-2
División 1,Fallen Ember,FE,/logos/fallen_ember.png,Fase de grupos,7,1-2
División 1,Movistar KOI Karps,MKK,/logos/movistar_koi_karps.png,Semifinalista,3,2-0
División 1,Kawaii Kiwis 2026,KK,/logos/kawaii_kiwis_2026.png,Semifinalista,4,2-1
División 2,Valkiria's Thunder,VT,/logos/valkirias_thunder.jpeg,Fase de grupos,5,1-2
División 2,BYAKKO'S BREEDERS,BB,/logos/byakkos_breeders.jpg,Finalista,2,2-0
División 2,Guadalquivir Gaming,GG,/logos/guadalquivir_gaming.png,Semifinalista,3,2-1
División 2,Phoenix eSports,PHX,/logos/phoenix_esports.png,Fase de grupos,8,0-2
División 2,DPT,DPT,/logos/dpt.png,Fase de grupos,6,1-2
División 2,VVV,VVV,/logos/vvv.jpg,Campeón,1,2-0
División 2,MADE IN HEAVEN,MIH,/logos/made_in_heaven.png,Semifinalista,4,2-1
División 2,VentuCorp eSports LOL,VC,/logos/ventucorp_esports_lol.jpeg,Fase de grupos,7,0-2
División 3,Madrid in Game,MIG,/logos/madrid_in_game.png,Finalista,2,2-0,Grupo A
División 3,NFAMY,NFA,/logos/nfamy.png,Fase de grupos,7,0-2,Grupo B
División 3,Phoenix Ascend,PA,/logos/phoenix_ascend.jpg,Semifinalista,3,2-0,Grupo A
División 3,AzE,AZE,/logos/aze.jpg,Campeón,1,2-1,Grupo A
División 3,Azure Dragons,AD,/logos/azure_dragons.png,Semifinalista,4,2-1,Grupo B
División 3,Team Meet Valhalla,TMV,/logos/team_meet_valhalla.png,Semifinalista,4,2-1,Grupo A
División 3,Tan’i eSports LoL,TAN,/logos/tani_esports_lol.png,Campeón,1,2-0,Grupo B
División 3,Valkiria's Valhalla,VVH,/logos/valkirias_valhalla.png,Fase de grupos,6,1-2,Grupo B
División 3,Koryu Budo Kaiju,KBK,/logos/koryu_budo_kaiju.png,Fase de grupos,8,0-2,Grupo B
División 3,VAY eSports LoL,VAY,/logos/vay_esports_lol.png,Fase de grupos,5,1-2,Grupo A
División 3,DimoniX,DMX,/logos/dimonix.jpg,Fase de grupos,5,1-2,Grupo B
División 3,Cyclon Gaming,CG,/logos/cyclon_gaming.png,Fase de grupos,7,0-2,Grupo A
División 3,CSN Rinato,CSN,/logos/csn_rinato.png,Fase de grupos,8,0-2,Grupo A
División 3,UB Ascensus,UB,/logos/ub_ascensus.jpg,Semifinalista,3,2-0,Grupo B
División 3,SusLeague,SUS,/logos/susleague.png,Finalista,2,2-1,Grupo B
División 3,AJA,AJA,,Fase de grupos,6,1-2,Grupo A
División 4,Diverbot Papea,DVP,/logos/diverbot_papea.jpg,Semifinalista,3,2-1,Grupo A
División 4,TAXERS,TAX,/logos/taxers.jpg,Fase de grupos,6,1-2,Grupo B
División 4,Equipo Queixo,EQ,/logos/equipo_queixo.jpeg,Semifinalista,4,2-1,Grupo C
División 4,IDK,IDK,/logos/idk.png,Semifinalista,3,2-1,Grupo D
División 4,GenYi,GEN,/logos/genyi.jpg,Fase de grupos,6,1-2,Grupo C
División 4,Koryu Budo Saru,KBS,/logos/koryu_budo_saru.jpg,Semifinalista,3,2-0,Grupo C
División 4,Dragons Of Blossom Hikari,DOB,/logos/dragons_of_blossom_hikari.png,Fase de grupos,8,0-2,Grupo D
División 4,Locked Esports,LKD,/logos/locked_esports.png,Campeón,1,2-0,Grupo B
División 4,VentuCorp Gods,VCG,/logos/ventucorp_gods.png,Fase de grupos,6,1-2,Grupo D
División 4,Big Yahu Esports,BYE,,Campeón,1,2-0,Grupo A
División 4,Koryu Budo Arashi,KBA,/logos/koryu_budo_arashi.png,Finalista,2,2-0,Grupo D
